"20%",20,34.03
"20%",40,53.059
"20%",60,87.379
"20%",80,97.108
"20%",100,155.441
"40%",20,49.045
"40%",40,83.156
"40%",60,120.159
"40%",80,172.205
"40%",100,279.734
"60%",20,63.02
"60%",40,119.088
"60%",60,166.154
"60%",80,234.439
"60%",100,384.935
"80%",20,86.291
"80%",40,158.347
"80%",60,225.334
"80%",80,306.498
"80%",100,492.884
"100%",20,73.826
"100%",40,178.218
"100%",60,282.49
"100%",80,463.902
"100%",100,613.295
